Token	Lexeme	Line No
INT	int	1
IDENTIFIER	A	1
COMMA	,	1
IDENTIFIER	B	1
COMMA	,	1
IDENTIFIER	E	1
LBRACKET	[	1
INT_CONST	10	1
RBRACKET	]	1
COMMA	,	1
IDENTIFIER	G	1
LBRACKET	[	1
RBRACKET	]	1
SEMICOLON	;	1
CHAR	char	2
IDENTIFIER	X	2
COMMA	,	2
IDENTIFIER	Y	2
SEMICOLON	;	2
VOID	void	4
MAIN	main	4
LPAREN	(	4
VOID	void	4
RPAREN	)	4
LBRACE	{	5
INT	int	6
IDENTIFIER	a	6
COMMA	,	6
IDENTIFIER	b	6
SEMICOLON	;	6
CHAR	char	7
IDENTIFIER	c	7
COMMA	,	7
IDENTIFIER	d	7
SEMICOLON	;	7
IDENTIFIER	a	9
ASSIGN	=	9
IDENTIFIER	b	9
PLUS	+	9
INT_CONST	5	9
SEMICOLON	;	9
IF	if	10
LPAREN	(	10
IDENTIFIER	a	10
GT	>	10
INT_CONST	10	10
RPAREN	)	10
LBRACE	{	10
IDENTIFIER	b	10
ASSIGN	=	10
IDENTIFIER	a	10
SEMICOLON	;	10
RBRACE	}	10
ELSE	else	10
LBRACE	{	10
IDENTIFIER	c	10
ASSIGN	=	10
CHAR_CONST	x	10
SEMICOLON	;	10
RBRACE	}	10
RBRACE	}	11
